form,label,counts
lê_ngọc_hoàng,phap_luat,2
lưu_ý,the_thao,2
lưu_ý,van_hoa,2
topdev_tv,vi_tinh,2
top_comments,doi_song,2
tony,doi_song,2
tiên,vi_tinh,2
tiktok,vi_tinh,2
thọ,doi_song,2
tran_van_thanh,chinh_tri_xa_hoi,2
lê_ngọc_hoàng,chinh_tri_xa_hoi,2
na_lam_nhạc,van_hoa,2
trà_sữa_cho_tâm_hồn,van_hoa,2
trần_maicô,chinh_tri_xa_hoi,2
trấn_thành,doi_song,2
trường_giang,van_hoa,2
long,van_hoa,2
trường_giang,chinh_tri_xa_hoi,2
loreto,doi_song,2
lotte_mart,chinh_tri_xa_hoi,2
trương_văn_sơn,phap_luat,2
trà_sữa,van_hoa,2
lê_anh_tuấn,chinh_tri_xa_hoi,2
truyen_hinh_vinh_long,vi_tinh,2
trung,chinh_tri_xa_hoi,2
phương_ly,vi_tinh,2
trump,chinh_tri_xa_hoi,2
lynk_lee,vi_tinh,2
là_khủng_long,van_hoa,2
tron,chinh_tri_xa_hoi,2
troi,doi_song,2
ma,doi_song,2
thắng,doi_song,2
thảo,chinh_tri_xa_hoi,2
tam_bảo,chinh_tri_xa_hoi,2
miss_universe_vietnam,van_hoa,2
mlee,van_hoa,2
money_tree,doi_song,2
moneytree,doi_song,2
mori,doi_song,2
,doi_song,2
mua_online,vi_tinh,2
te,vi_tinh,2
tai,phap_luat,2
thương,doi_song,2
t,suc_khoe,2
sơn_tùng_m-tp,chinh_tri_xa_hoi,2
mác-tin,van_hoa,2
mạc_hồng_quân,doi_song,2
mạc_hồng_quân,van_hoa,2
mạnh,phap_luat,2
sơn_tùng,doi_song,2
na-young,suc_khoe,2
thanh_hưng,van_hoa,2
the_blue_dolphin,van_hoa,2
the_face_thailand,vi_tinh,2
minh_dự,van_hoa,2
thương,chinh_tri_xa_hoi,2
thánh_thể,chinh_tri_xa_hoi,2
thánh_matthêu,doi_song,2
malificent,doi_song,2
thám_tử,vi_tinh,2
malik_obama,van_hoa,2
thuận,chinh_tri_xa_hoi,2
marvel_comics,van_hoa,2
thuý_ngân,vi_tinh,2
thuý_hằng,chinh_tri_xa_hoi,2
thu_linh,van_hoa,2
messi,the_thao,2
thiệu,the_gioi,2
michael_aidan,vi_tinh,2
thiện_cẩm,van_hoa,2
thiên_chúa,doi_song,2
the_lion,vi_tinh,2
phan_văn_tuấn,phap_luat,2
,chinh_tri_xa_hoi,2
bảo_ngọc,van_hoa,2
bích_phương,chinh_tri_xa_hoi,2
chi,vi_tinh,2
chi_bảo,doi_song,2
chí_phèo,chinh_tri_xa_hoi,2
công_vinh,chinh_tri_xa_hoi,2
alice,doi_song,2
conlatatca,suc_khoe,2
damask_rose,suc_khoe,2
gates,the_gioi,2
cắt,chinh_tri_xa_hoi,2
chicago_bulls,chinh_tri_xa_hoi,2
chicano_style,chinh_tri_xa_hoi,2
ban,chinh_tri_xa_hoi,2
cường,vi_tinh,2
gearvn,vi_tinh,2
compression,suc_khoe,2
bảo_thy,doi_song,2
bình_minh,suc_khoe,2
foxy,van_hoa,2
anh_tuấn,van_hoa,2
cuomo,the_gioi,2
bình_minh,chinh_tri_xa_hoi,2
alpha_books,khoa_hoc,2
amara_namani,van_hoa,2
châu,doi_song,2
ali_hoàng_dương,chinh_tri_xa_hoi,2
garbin,phap_luat,2
alfredo_garbin,phap_luat,2
bùi_phạm_thành,the_gioi,2
cheer,vi_tinh,2
chúa_giêsu,doi_song,2
full_clip,vi_tinh,2
barack_obama,the_gioi,2
airpods,vi_tinh,2
chấm,chinh_tri_xa_hoi,2
bấm_ok,van_hoa,2
bill_clinton,the_gioi,2
biker_for_trump,the_gioi,2
công_phượng,the_thao,2
bùi_thị_kim_thu,phap_luat,2
cô_độc,van_hoa,2
akira_phan,van_hoa,2
cherry_mỹ,vi_tinh,2
chatađê,chinh_tri_xa_hoi,2
biên_hoa,vi_tinh,2
chi,chinh_tri_xa_hoi,2
bao,vi_tinh,2
ako_bicol,phap_luat,2
fujifilm,vi_tinh,2
game_kiếp_hiệp,vi_tinh,2
batman,van_hoa,2
ankle_strap,vi_tinh,2
choi,vi_tinh,2
chương,vi_tinh,2
color_man,doi_song,2
carrie_lam,the_gioi,2
diệt_kỷ,khoa_hoc,2
bruce,van_hoa,2
elizabeth_lombardo,khoa_hoc,2
chu_bin,van_hoa,2
arteta,the_thao,2
a_tay_phải,khoa_hoc,2
cr,chinh_tri_xa_hoi,2
chot,vi_tinh,2
an_phat,vi_tinh,2
deal_hot,vi_tinh,2
buddhist_studies,vi_tinh,2
bằng,van_hoa,2
aubameyang,the_thao,2
bezos,kinh_doanh,2
dương,vi_tinh,2
dương,khoa_hoc,2
dónde,vi_tinh,2
dương,chinh_tri_xa_hoi,2
erling_haaland,the_thao,2
ca,vi_tinh,2
a_chân,khoa_hoc,2
bảo_anh,chinh_tri_xa_hoi,2
giang,chinh_tri_xa_hoi,2
deborah_paul,chinh_tri_xa_hoi,2
cau_giay,vi_tinh,2
carvalho_gratis,vi_tinh,2
dich,chinh_tri_xa_hoi,2
foody,chinh_tri_xa_hoi,2
bibomart,kinh_doanh,2
brulay,van_hoa,2
diệt_tại,khoa_hoc,2
entiati,doi_song,2
chân_thần,khoa_hoc,2
cre,doi_song,2
,phap_luat,2
sz,vi_tinh,1
tamron,vi_tinh,1
sài_thành,vi_tinh,1
bảo_huyên,doi_song,1
săn_voucher,chinh_tri_xa_hoi,1
bảy,doi_song,1
sâu,doi_song,1
taiwan_news,the_gioi,1
sóc_nâu,vi_tinh,1
bảo_hành,chinh_tri_xa_hoi,1
takashimaya,vi_tinh,1
sỏi_island,chinh_tri_xa_hoi,1
bảo_hành,kinh_doanh,1
bảo_thy,chinh_tri_xa_hoi,1
sắp,chinh_tri_xa_hoi,1
sảnh_a,chinh_tri_xa_hoi,1
sữa_rửa_mặt_st,chinh_tri_xa_hoi,1
sư_tử,vi_tinh,1
sơn_đoong,vi_tinh,1
sự_sống_ở_thế_gian,khoa_hoc,1
bảo_hân,suc_khoe,1
bảo_linh,van_hoa,1
sy,chinh_tri_xa_hoi,1
t,chinh_tri_xa_hoi,1
bảo_hành_trọn,vi_tinh,1
bảo_hành,vi_tinh,1
sơn_tùng,vi_tinh,1
sơn_tùng,the_thao,1
bảo_đại,the_gioi,1
sơn_tùng,phap_luat,1
t-pame,doi_song,1
bảo_thy,vi_tinh,1
bảo_yến_rosie,vi_tinh,1
sơn_thạch,the_thao,1
t-shirt,vi_tinh,1
tae_kantana,vi_tinh,1
sơn_thạch,chinh_tri_xa_hoi,1
sơn_nữ,vi_tinh,1
sơn,vi_tinh,1
bảo_đăng,chinh_tri_xa_hoi,1
tage,vi_tinh,1
sữa_hoàng_gia,kinh_doanh,1
giang_ca,chinh_tri_xa_hoi,1
super_lựu_đạn,vi_tinh,1
sweet_melody_úc,doi_song,1
suzy,van_hoa,1
south_vietnamese,the_gioi,1
